check_id,manuscript_line,numerical_claim,trace_status,claim_audit_reference,notes
L001,13,"2022 regime shift and post-2022 performance",PASS,C001,"Post window traced to table1 sample summary."
L002,13,"main U.S. coefficient 0.2112 and t-statistic 4.06",PASS,C005,"Appears in table2_main column D."
L003,13,"W2 coefficient 0.0624 and t-statistic 7.72",PASS,C016,"Appears in outputs/w2/w2_results.csv."
L004,28,"176 U.S. signal observations",PASS,C004,"Appears in table2_main N row."
L005,28,"Cat.Economic FE t-statistic 2.85",PASS,C006,"Appears in table2_main column E."
L006,28,"category-clustered t-statistic 3.37",PASS,C007,"Appears in table2_main column F."
L007,30,"nominal baseline coefficient -0.1607 and t-statistic -4.62",PASS,C008,"Appears in table2_main column A."
L008,30,"nominal controlled coefficient -0.0816 and t-statistic -1.37",PASS,C009,"Appears in table2_main column B."
L009,36,"nominal beta window 1990-01 to 2021-12",PASS,C002,"Appears in table1 sample summary."
L010,36,"real-rate and BEI beta window 2003-01 to 2021-12",PASS,C003,"Appears in table1 sample summary."
L011,40,"W2 sample has 3251 observations, 22 countries, 153 factors, and 7 themes",PASS,C010,"Appears in outputs/w2/w2_results.csv."
L012,46,"category aggregation coefficient 0.3509 and t-statistic 2.01",PASS,C011,"Appears in outputs/w1x_extra_robustness.csv."
L013,46,"signal bootstrap interval [0.1172, 0.3213]",PASS,C012,"Appears in outputs/w1x_extra_robustness.csv."
L014,46,"leave-one-category tests produce no sign flips",PASS,C013,"Appears in outputs/w1x_extra_robustness.md."
L015,46,"2022 leave-one-month-out minimum t-statistic 4.66",PASS,C014,"Appears in outputs/w1x_extra_robustness.md."
L016,48,"W3 2022 coefficient 0.1745 and t-statistic 2.99",PASS,C022,"Appears in outputs/w3/placebo_breaks_summary.csv."
L017,48,"six 2014-2019 pseudo-breaks and placebo coefficient range -0.1488 to 0.0724",PASS,C023,"Appears in outputs/w3/placebo_breaks_summary.csv."
L018,48,"six-month generated-regressor interval [0.0270, 0.2511]",PASS,C024,"Appears in outputs/w3/generated_regressor_bootstrap.csv."
L019,48,"twelve-month generated-regressor interval [0.0235, 0.2558]",PASS,C025,"Appears in outputs/w3/generated_regressor_bootstrap.csv."
L020,48,"multiverse table finds no unreported contradiction",PASS,C026,"Appears in outputs/w3/multiverse_report.md."
L021,50,"monthly panel coefficient -0.5937 and t-statistic -2.435",PASS,C015,"Appears in outputs/repro_check.md and cache_repro_check.md."
L022,54,"W2 theme FE t-statistic 6.14",PASS,C017,"Appears in outputs/w2/w2_results.csv."
L023,54,"W2 country-, factor-, and two-way clustered t-statistics 3.63, 5.80, and 3.35",PASS,C018-C020,"Appears in outputs/w2/w2_results.csv."
L024,all,"No untraced numerical claim found in v2 manuscript scan",PASS,claim_audit_table_v2.csv,"Manual line-by-line audit after rg numeric scan."
