specification,key_coefficient,t_stat_or_interval,narrow_claim_status,interpretation,source
nominal baseline,-0.1607,t=-4.62,LIMITS,Nominal-rate beta predicts the 2022 cross-section but does not isolate real-rate exposure.,table2_main
nominal + market beta + volatility,-0.0816,t=-1.37,LIMITS,"The nominal coefficient weakens after controls, motivating the real/BEI decomposition.",table2_main
real + BEI baseline,0.2181,t=3.91,SUPPORTS,Real-rate exposure remains positive when BEI exposure is included.,table2_main
X2 real + BEI + market beta + volatility,0.2112,t=4.06,SUPPORTS,Main U.S. specification supports the narrow regime-break repricing claim.,table2_main
Cat.Economic FE,0.1848,t=2.85,SUPPORTS,Category fixed effects do not absorb the real-rate coefficient.,table2_main
category-clustered SE,0.2112,t=3.37,SUPPORTS,Clustered inference by economic category keeps the real-rate coefficient positive.,table2_main
category collapse,0.3509,t=2.01,SUPPORTS,"The result survives collapsing to Cat.Economic means, though precision is lower.",w1x_extra_robustness
signal bootstrap,0.2156,"95% interval [0.1172, 0.3213]",SUPPORTS,Signal-level resampling keeps the real-rate coefficient positive.,w1x_extra_robustness
leave-one-category,min=0.1748,min t=3.14,SUPPORTS,No single Cat.Economic exclusion flips the result.,w1x_extra_robustness
theme exclusions,min=0.1783,min t=3.41,SUPPORTS,The coefficient remains positive after excluding major signal themes.,w1x_extra_robustness
2022 leave-one-month-out,min=0.3621,min t=4.66,SUPPORTS,The 2022 evidence is not created by one month alone.,w1x_extra_robustness
W2 international,0.0624,t=3.35 two-way clustered,SUPPORTS,"International evidence supports U.S. real-rate shocks as global regime variables, not a separate country-level alpha claim.",w2_results
post-2022 monthly panel negative interaction,-0.5937,t=-2.44,LIMITS,"The monthly panel has the opposite sign, so the manuscript should keep the mechanism claim cross-sectional and regime-level.",cache_repro_check
W3 pseudo-break placebo,0.1745,percentile=1.00,SUPPORTS,Compares the 2022 break to pseudo-breaks from 2014 through 2019 under the same pre-break protocol.,w3_placebo_breaks
W3 generated-regressor bootstrap,0.1520,"pooled interval envelope [0.0235, 0.2558]",SUPPORTS,First-stage beta uncertainty leaves the X2 real-rate coefficient positive across 6- and 12-month block bootstraps.,w3_generated_regressor_bootstrap
